Restaurant ,Avg_overall_rating,Avg_food_rating,Avg_service_rating
Emilianos,2,1,1
Michiko Restaurant Japones,2,2,1
Restaurant Las Mañanitas,2,2,2
Cafe Punta Del Cielo,2,1,2
Carl's Jr,2,2,1
El Cotorreo,2,1,2
El Mundo De La Pasta,2,2,2
El Oceano Dorado,2,2,2
KFC,2,1,1
Kiku Cuernavaca,2,2,2
La Estrella De Dimas,2,2,1
Little Pizza Emilio Portes Gil,2,2,1
Log Yin,2,2,1
Palomo Tec,2,2,1
Preambulo Wifi Zone Cafe,2,1,1
Restaurant Wu Zhuo Yi,2,1,1
Restaurante Bar El Gallinero,2,1,1
Restaurante La Parroquia Potosina,2,2,2
Rockabilly,2,1,1
Tacos Los Volcanes,2,1,1
La Cochinita Pibil Restaurante Yucateco,1,1,1
Tortas Hawaii,1,1,1
Cabana Huasteca,1,1,1
Cafe Chaires,1,1,0
Cafeteria Cenidet,1,1,1
Cafeteria Y Restaurant El Pacifico,1,1,1
Carnitas Mata,1,1,0
Carreton De Flautas Y Migadas,1,1,1
Cenaduria El Rincón De Tlaquepaque,1,0,1
Chaires,1,1,1
Crudalia,1,1,0
Dominos Pizza,1,1,1
El Herradero Restaurante And Bar,1,1,1
El Lechon Potosino,1,1,1
El Pueblito,1,1,1
El Rincon De San Francisco,1,1,1
El Rincón De San Francisco,1,1,1
Gordas De Morales,1,0,1
Gorditas Doa Gloria,1,1,0
Gorditas Dona Tota,1,1,1
Gorditas Doña Tota,1,1,0
Hamburguesas La Perica,1,1,1
Hamburguesas Valle Dorado,1,1,0
Koye Sushi,1,1,1
La Cantina,1,0,1
La Cantina Restaurante,1,1,1
La Fontana Pizza Restaurante And Cafe,1,1,1
La Parroquia,1,0,0
La Perica Hamburguesa,1,0,1
La Posada Del Virrey,1,1,1
La Virreina,1,1,1
Little Caesars,1,1,0
Luna Cafe,1,1,0
Mariscos El Pescador,1,1,1
Mariscos Tia Licha,1,1,1
McDonalds Centro,1,1,1
McDonalds Parque Tangamanga,1,0,0
Paniroles,1,1,1
Pizza Clasica,1,0,1
Pizzeria Julios,1,1,1
Puesto De Tacos,1,1,0
Restaurant And Bar And Clothesline Carlos N Charlies,1,1,1
Restaurant Bar Coty Y Pablo,1,1,0
Restaurant Bar Hacienda Los Martinez,1,2,1
Restaurant De Mariscos De Picon,1,1,1
Restaurant Familiar El Chino,1,2,1
Restaurant Oriental Express,1,1,1
Restaurant Orizatlan,1,1,1
Restaurante Bar Fu-Hao,1,1,2
Restaurante De Mariscos La Langosta,1,0,1
Restaurante El Reyecito,1,1,0
Restaurante La Cantina,1,0,0
Restaurante Marisco Sam,1,0,1
Restaurante Tiberius,1,1,1
Restaurante Y Pescaderia Tampico,1,1,1
Shi Ro Ie,1,1,1
Sirlone,1,2,1
Subway,1,1,0
Sushi Itto,1,1,1
Tacos Correcaminos,1,1,1
Tacos De La Estacion,1,1,0
Tacos El Guero,1,1,1
Taqueria El Amigo,1,1,1
Tortas Locas Hipocampo,1,1,0
Tortas Y Hamburguesas El Gordo,1,1,0
Unicol's Pizza,1,0,1
Vips,1,1,1
Abondance Restaurante Bar,1,0,1
Hamburguesas Saul,1,1,0
Mikasa,1,1,1
Pollo Frito Buenos Aires,1,1,1
Puesto de Gorditas,1,1,0
Tacos Abi,1,1,1
Tacos De Barbacoa Enfrente Del Tec,1,1,1
